id,title,signing_date,published_date
11518,"Providing for the increased representation of the interests of small business concerns before departments and agencies of the United States Government",1970-03-20,1970-03-21
11519,"Calling into service members and units of the National Guard",1970-03-23,1970-03-24
11520,"Amending Executive Order No. 11407, relating to the Presidential Service Certificate and the Presidential Service Badge",1970-03-25,1970-03-27
11521,"Authorizing veterans readjustment appointments for veterans of the Vietnam era",1970-03-26,1970-03-31
11522,"Assigning emergency preparedness functions to the United States Information Agency",1970-04-06,1970-04-08
11523,"Establishing the National Industrial Pollution Control Council",1970-04-09,1970-04-11
11524,"Adjusting rates of pay for certain statutory schedules",1970-04-15,1970-04-17
11525,"Adjusting rates of monthly basic pay for members of the Uniformed Services",1970-04-15,1970-04-17
11526,"Establishing the National Council on Federal Disaster Assistance",1970-04-22,1970-04-24
11527,"Amending the Selective Service regulations",1970-04-23,1970-04-24
11528,"Changing the jurisdiction and membership of the New England River Basins Commission",1970-04-24,1970-04-28
11529,"Terminating obsolete bodies established by Executive order",1970-04-24,1970-04-28
11530,"Amending Executive Order No. 10624, as amended, providing for regulations relating to personnel of the Department of Agriculture assigned to service abroad",1970-05-26,1970-05-28
11531,"Delegating authority of the President under section 4102(a)(2)(B) of Title 5, United States Code, to designate U.S. marshals and U.S. attorneys for training",1970-05-26,1970-05-28
11532,"Establishing the Interdepartmental Committee for (the) Voluntary Payroll Savings Plan for the Purchase of United States Savings Bonds",1970-06-02,1970-06-04
11533,"Administration of the Export Administration Act of 1969",1970-06-04,1970-06-06
11534,"Establishing the National Council on Organized Crime",1970-06-04,1970-06-09
11535,"Inspection of tax returns by the Committee on the Judiciary, House of Representatives",1970-06-12,1970-06-16
11536,"Establishing the President's Commission on Campus Unrest",1970-06-13,1970-06-17
11537,"Amending the Selective Service regulations concerning the ordering of registrants for induction",1970-06-16,1970-06-18
11538,"Delegating to the Secretary of Transportation the authority of the President to establish and conduct an International Aeronautical Exposition",1970-06-29,1970-07-01
11539,"Delegations of authority to negotiate agreements and issue regulations limiting imports of certain meats",1970-06-30,1970-07-02
11540,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1970-07-01,1970-07-02
11541,"Prescribing the duties of the Office of Management and Budget and the Domestic Council in the Executive Office of the President",1970-07-01,1970-07-02
11542,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1970-07-02,1970-07-08
11543,"Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conferences and certain of their employees",1970-07-07,1970-07-09
11544,"Establishing the Vice Presidential Service Certificate and the Vice Presidential Service Badge",1970-07-08,1970-07-10
11545,"Establishing the Defense Distinguished Service Medal",1970-07-09,1970-07-11
11546,"Establishing the President's Commission for the Observance of the Twenty-Fifth Anniversary of the United Nations",1970-07-09,1970-07-14
11547,"Amending Executive Order No. 11330 with respect to membership and chairmanship",1970-07-10,1970-07-14
11548,"Delegating functions of the President under the Federal Water Pollution Control Act, as amended",1970-07-20,1970-07-22
11549,"Revoking Executive Order No. 10361 of June 11, 1952, establishing the Whittier Defensive Sea Area, Alaska",1970-07-28,1970-07-30
11550,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1970-07-30,1970-08-01
11551,"Amending Executive Order No. 11399 with respect to the membership of the National Council on Indian Opportunity",1970-08-11,1970-08-14
11552,"Providing for details and transfers of Federal employees to international organizations",1970-08-24,1970-08-26
11553,"Amending the Selective Service regulations",1970-08-26,1970-08-28
11554,"Suspending the provisions of section 5707(c) of title 10, United States Code, which relate to the establishment of a maximum percentage of Navy officers who may be recommended for promotion from below the appropriate promotion zone",1970-08-29,1970-09-09
11555,"Amending the Selective Service regulations",1970-09-02,1970-09-09
11556,"Assigning telecommunications functions",1970-09-04,1970-09-09
11557,"Enlarging the membership of the President's Commission for the Observance of the Twenty-Fifth Anniversary of the United Nations",1970-09-10,1970-09-12
11558,"Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conference and certain of their employees",1970-09-18,1970-09-22
11559,"Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conference and certain of their employees",1970-09-18,1970-09-22
11560,"Amending Executive Order No. 11508 with respect to the membership of the Property Review Board",1970-09-23,1970-09-25
11561,"Delegation of certain authority under Title VIII of the Economic Opportunity Act",1970-09-25,1970-09-26
11562,"Developing and coordinating a national program for physical fitness and sports",1970-09-25,1970-09-29
11563,"Amending the Selective Service regulations",1970-09-26,1970-10-03
11564,"Transfer of certain programs and activities to the Secretary of Commerce",1970-10-06,1970-10-08
11565,"Amending Executive Order No. 11145 with respect to the membership of the Committee for the Preservation of the White House",1970-10-13,1970-10-15
11566,"Consumer product information",1970-10-26,1970-10-28
11567,"Prescribing the compensation of certain officials in the Bureau of Domestic Commerce, Department of Commerce",1970-11-16,1970-11-18
11568,"Exempting A. Everette MacIntyre from compulsory retirement for age",1970-11-16,1970-11-18
11569,"Amending the Selective Service regulations",1970-11-24,1970-11-26
11570,"Providing for the regulation of conduct for the Postal Rate Commission and its employees",1970-11-24,1970-11-28
11571,"Modifying Executive Order No. 6868 of October 9, 1934, as amended, designating the authority to carry out the provisions of the District of Columbia Alley Dwelling Act",1970-12-08,1970-12-10
11572,"Providing for the use of transportation priorities and allocations during the current railroad strike",1970-12-10,1970-12-12
11573,"Excusing Federal employees from duty for one-half day on December 24, 1970",1970-12-21,1970-12-22
11574,"Administration of Refuse Act permit program",1970-12-23,1970-12-25
11575,"Providing for the administration of the Disaster Relief Act of 1970",1970-12-31,1971-01-05
11576,"Adjusting rates of pay for certain statutory pay systems",1971-01-08,1971-01-12
11577,"Adjusting the rates of monthly basic pay for members of the Uniformed Services",1971-01-08,1971-01-12
11578,"Establishment of the Ohio River Basin Commission",1971-01-13,1971-01-16
11579,"Overseas Private Investment Corporation",1971-01-19,1971-01-21
11580,"Establishing a seal for the National Credit Union Administration",1971-01-20,1971-01-21
11581,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1971-01-20,1971-01-22
11582,"Observance of Holidays by Government agencies",1971-02-11,1971-02-13
11583,"Office of Consumer Affairs",1971-02-24,1971-02-26
11584,"Inspection of income, excess-profits, estate, and gift tax returns by the Senate Committee on Government Operations",1971-03-03,1971-03-05
11585,"Creating an emergency board to investigate disputes between certain carriers represented by the National Railway Labor Conference and the Eastern, Western and Southeastern Carriers' Conference Committees and certain of their employees represented by the Brotherhood of Railroad Signalmen",1971-03-04,1971-03-06
11586,"Amending the Selective Service regulations",1971-03-10,1971-03-12
11587,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1971-03-15,1971-03-16
11588,"Providing for the stabilization of wages and prices in the construction industry",1971-03-29,1971-04-03
11589,"Delegating to the United States Civil Service Commission certain authorities of the President under the Intergovernmental Personnel Act of 1970 and the Federal Civil Defense Act of 1950",1971-04-01,1971-04-03
11590,"Applicability of Executive Order No. 11222 and Executive Order 11478 to the United States Postal Service and of Executive Order No. 11478 to the Postal Rate Commission",1971-04-23,1971-04-27
11591,"Amending Executive Order No. 11157 as it relates to basic allowances for quarters for members with dependents",1971-04-23,1971-04-27
11592,"Delegating certain authority of the President to the Director of the Office of Management and Budget",1971-05-06,1971-05-08
11593,"Protection and enhancement of the cultural environment",1971-05-13,1971-05-15
11594,"Providing for the use of transportation priorities and allocations during the current railroad strike",1971-05-17,1971-05-18
11595,"Amending Executive Order 11583, establishing the Office of Consumer Affairs",1971-05-26,1971-05-28
11596,"Designating the Customs Cooperation Council as a public international organization entitled to enjoy certain privileges, exemptions, and immunities",1971-06-05,1971-06-09
11597,"Amendment to Executive Order No. 11513 increasing the membership of the President's Commission on School Finance",1971-06-11,1971-06-15
11598,"To provide for the listing of certain job vacancies by Federal agencies and Government contractors and subcontractors",1971-06-16,1971-06-18
11599,"Establishing a special action office for drug abuse prevention",1971-06-17,1971-06-19
11600,"Establishing a seal for the Office of Management and Budget",1971-06-29,1971-07-01
11601,"Amending Executive Order No. 11390, providing for the delegation of certain functions of the President to the Secretary of Defense",1971-06-29,1971-07-01
11602,"Providing for administration of the Clean Air Act with respect to Federal contracts, grants, or loans",1971-06-29,1971-07-01
11603,"Assigning additional functions to the Director of ACTION",1971-06-30,1971-07-03
11604,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal executive salary schedule",1971-07-02,1971-07-07
11605,"Amendment of Executive Order No. 10450 of April 27, 1953, relating to security requirements for Government employment",1971-07-02,1971-07-08
11606,"Amending the Selective Service regulations",1971-07-10,1971-07-14
11607,"Establishing the Advisory Council on Intergovernmental Personnel Policy",1971-07-19,1971-07-20
11608,"Termination of Federal Field Committee for Development Planning in Alaska",1971-07-19,1971-07-21
11609,"Delegating certain functions vested in the President to other officers of the Government",1971-07-22,1971-07-24
11610,"Further amending Executive Order 10789 authorizing agencies of the Government to exercise certain contracting authority in connection with national defense functions and prescribing regulations governing the exercise of such authority",1971-07-22,1971-07-24
11611,"Inspection of income, excess profits, estate, and gift tax returns by the Committee on Internal Security, House of Representatives",1971-07-26,1971-07-28
11612,"Occupational safety and health programs for Federal employees",1971-07-26,1971-07-28
11613,"Membership of Environmental Protection Agency on Established River Basin Commissions",1971-08-02,1971-08-04
11614,"Establishing the National Business Council for Consumer Affairs",1971-08-05,1971-08-07
11615,"Providing for stabilization of prices, rents, wages, and salaries",1971-08-15,1971-08-17
11616,"Amending Executive Order No. 11491, relating to labor-management relations in the Federal service",1971-08-26,1971-08-28
11617,"Amending Executive Order No. 11615, providing for stabilization of prices, rents, wages, and salaries",1971-09-02,1971-09-04
11618,"Further amending Executive Order No. 10713, providing for administration of the Ryukyu Islands",1971-09-10,1971-09-14
11619,"Exemption of Rose A. Conway from mandatory retirement",1971-09-22,1971-09-24
11620,"The Honorable Hugo L. Black",1971-09-25,1971-09-28
11621,"Creating a board of inquiry to report on certain labor disputes affecting the maritime industry of the United States",1971-10-04,1971-10-06
11622,"Amending Executive Order 11621 creating a board of inquiry",1971-10-05,1971-10-07
11623,"Delegating to the Director of Selective Service authority to issue rules and regulations under the Military Selective Service Act",1971-10-12,1971-10-14
11624,"Inspection of income, excess profits, estate, gift, and excise tax returns by the Senate Committee on Commerce",1971-10-12,1971-10-14
11625,"Prescribing additional arrangements for developing and coordinating a national program for minority business enterprise",1971-10-13,1971-10-14
11626,"The Honorable Dean Acheson",1971-10-13,1971-10-15
11627,"Further providing for the stabilization of the economy",1971-10-15,1971-10-16
11628,"Establishing a seal for the Environmental Protection Agency",1971-10-18,1971-10-20
11629,"Delegation of authority to the Secretary of State to perform the function vested in the President by article IV of the Convention Between the United States of America and Mexico for the Protection of Migratory Birds and Game Mammals (50 Stat. 1311; TS 912)",1971-10-26,1971-10-28
11630,"Amending Executive Order No. 11627 of October 15, 1971, further providing for the stabilization of the economy",1971-10-30,1971-11-03
11631,"Inspection of income, estate, and gift tax returns by the Committee on Public Works, House of Representatives",1971-11-09,1971-11-11
11632,"Amending Executive Order No. 11627 of October 15, 1971, further providing for the stabilization of the economy",1971-11-22,1971-11-23
11633,"Security clearance program for United States citizens employed directly by the North Atlantic Treaty Organization, the South-East Asia Treaty Organization, and the Central Treaty Organization",1971-12-03,1971-12-07
11634,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary Schedule",1971-12-06,1971-12-08
11635,"Continuation of Souris-Red-Rainy-River Basins Commission",1971-12-09,1971-12-11
11636,"Employee-management relations in the Foreign Service of the United States",1971-12-17,1971-12-24
11637,"Adjusting rates of pay for certain statutory pay systems",1971-12-22,1971-12-24
11638,"Adjusting the rates of monthly basic pay for members of the Uniformed Services",1971-12-22,1971-12-24
11639,"Providing for pay adjustments for Federal prevailing rate systems",1972-01-11,1972-01-13
11640,"Further providing for the stabilization of the economy",1972-01-26,1972-01-27
11641,"Concentration of law enforcement activities relating to drug abuse",1972-01-28,1972-02-01
11642,"Further exempting A. Everette MacIntyre from compulsory retirement for age",1972-02-01,1972-02-03
11643,"Environmental safeguards on activities for animal damage control on Federal lands",1972-02-08,1972-02-09
11644,"Use of off-road vehicles on the public lands",1972-02-08,1972-02-09
11645,"Authority of the Secretary of Transportation to prescribe certain regulations relating to Coast Guard housing",1972-02-08,1972-02-10
11646,"Membership of Department of State on the Great Lakes Basin Commission",1972-02-08,1972-02-10
11647,"Federal Regional Councils",1972-02-10,1972-02-12
11648,"Amendment of Executive Order No. 11183 which established the President's Commission on White House Fellowships",1972-02-16,1972-02-18
11649,"Regulations governing the seals of the President and the Vice President of the United States",1972-02-16,1972-02-18
11650,"Inspection by certain classes of persons and State and Federal Government establishments of returns made in respect of certain taxes imposed by the Internal Revenue Code of 1954",1972-02-16,1972-02-19
11651,"Textile Trade Agreements",1972-03-03,1972-03-04
11652,"Classification and declassification of national security information and material",1972-03-08,1972-03-10
11653,"Exemption of Jack T. Stuart from compulsory retirement for age",1972-03-09,1972-03-10
11654,"Transfer of the Federal Fire Council to the Department of Commerce",1972-03-13,1972-03-15
11655,"Inspection of income, excess-profits, estate, and gift tax returns by the Committee on Government Operations, House of Representatives",1972-03-14,1972-03-16
11656,"Inspection of income, estate, and gift tax returns by the Select Committee on Crime, House of Representatives",1972-03-14,1972-03-16
11657,"Exemption of C. Everette Spangler from compulsory retirement for age",1972-03-22,1972-03-24
11658,"Establishment of the Missouri River Basin Commission",1972-03-22,1972-03-24
11659,"Establishment of the Upper Mississippi River Basin Commission",1972-03-22,1972-03-24
11660,"Amending Executive Order No. 11640, further providing for the stabilization of the economy",1972-03-23,1972-03-25
11661,"Relating to facilitating coordination of Federal education programs",1972-03-24,1972-03-28
11662,"Further providing for the administration of the Disaster Relief Act of 1970, as amended",1972-03-29,1972-03-31
11663,"Creating an emergency board to investigate disputes between the carriers represented by the National Railway Labor Conference and certain of their employees",1972-03-31,1972-04-01
11664,"Creating an emergency board to investigate a dispute between the Penn Central Transportation Company and certain of its employees",1972-03-31,1972-04-01
11665,"James F. Byrnes",1972-04-10,1972-04-11
11666,"Qualification for the investment credit on certain articles and classes of articles of predominantly foreign origin",1972-04-11,1972-04-12
11667,"Establishing the President's Advisory Committee on the Environmental Merit Awards Program",1972-04-19,1972-04-20
11668,"Providing for a National Center for Housing Management",1972-04-21,1972-04-25
11669,"J. Edgar Hoover",1972-05-02,1972-05-04
11670,"Providing for the return of certain lands to the Yakima Indian Reservation",1972-05-20,1972-05-23
11671,"Committee management",1972-06-05,1972-06-07
11672,"Providing for the transfer or furnishing of property under the Postal Reorganization Act",1972-06-06,1972-06-08
11673,"Amending Executive Order No. 8684 to redefine the Culebra Island Naval Defensive Sea Area",1972-06-06,1972-06-08
11674,"Amending Executive Order No. 11640, as amended, further providing for the stabilization of the economy",1972-06-29,1972-06-30
11675,"Exemption of John S. Patterson from mandatory retirement for age",1972-07-26,1972-07-28
11676,"Providing for the establishment of an Office of National Narcotics Intelligence within the Department of Justice",1972-07-27,1972-07-28
11677,"Continuing the regulation of exports",1972-08-01,1972-08-03
11678,"Providing for the repair and restoration of nonprofit private educational institutions damaged by hurricane and tropical storm Agnes",1972-08-16,1972-08-18
11679,"Creating an emergency board to investigate a dispute between the Long Island Rail Road Company and certain of its employees",1972-08-19,1972-08-22
11680,"Designation of certain officers to act as Secretary of the Treasury",1972-08-21,1972-08-23
11681,"Revoking Executive Order No. 5221 of November 11, 1929, establishing a limitation on non-official employment of officers or employees of the American Government",1972-08-21,1972-08-23
11682,"Inspection by the Department of the Treasury of tax returns made under the Internal Revenue Code of 1954 for economic stabilization purposes",1972-08-29,1972-08-31
11683,"Revoking Executive Order No. 11677 of August 1, 1972, and continuing in effect Executive Order No. 11533 of June 4, 1970, relating to the administration of export controls",1972-08-29,1972-09-01
11684,"Amendment of Executive Order No. 11554, suspending the provisions of section 5707(c) of title 10, United States Code, which relate to promotion of Navy and Marine Corps officers",1972-08-30,1972-09-02
11685,"Amending Executive Order No. 10973, relating to administration of foreign assistance and related functions, and Executive Order No. 11501, relating to administration of foreign military sales",1972-09-25,1972-09-27
11686,"Committee management",1972-10-07,1972-10-11
11687,"Delegating functions conferred upon the President by section 1455 of title 10 of the United States Code, establishing the Retired Serviceman's Survivor Benefit Plan",1972-10-11,1972-10-12
11688,"Amending Executive Order No. 11399 with respect to the membership of the National Council on Indian Opportunity",1972-12-01,1972-12-05
11689,"Extending diplomatic privileges and immunities to the Mission to the United States of America of the Commission of the European Communities and to certain members thereof",1972-12-05,1972-12-07
11690,"Delegation of certain functions to the Executive Director of the Domestic Council",1972-12-14,1972-12-16
11691,"Adjusting rates of pay for certain statutory pay systems",1972-12-15,1972-12-19
11692,"Adjusting the rates of monthly basic pay for members of the Uniformed Services",1972-12-15,1972-12-19
11693,"Providing for the closing of Government departments and agencies on December 28, 1972",1972-12-26,1972-12-27
11694,"Creating an emergency board to investigate a dispute between the Port Authority Trans-Hudson Corporation and certain of its employees",1973-01-02,1973-01-04
11695,"Further providing for the stabilization of the economy",1973-01-11,1973-01-12
11696,"Excusing Federal employees in the Washington, DC., metropolitan area from duty for one-half day on Friday, January 19, 1973",1973-01-17,1973-01-18
11697,"Inspection by Department of Agriculture of income tax returns made under the Internal Revenue Code of 1954 of persons having farm operations",1973-01-17,1973-01-18
11698,"Relating to the implementation of the Convention on the Taking of Evidence Abroad in Civil or Commercial Matters",1973-01-19,1973-01-23
11699,"Amending Executive Order No. 11248, placing certain positions in levels IV and V of the Federal Executive Salary",1973-01-22,1973-01-24
11700,"Providing for the closing of Government departments and agencies on Thursday, January 25, 1973",1973-01-23,1973-01-24
11701,"Employment of veterans by Federal agencies and Government contractors and subcontractors",1973-01-24,1973-01-29
11702,"Relative to the Executive Office of the President",1973-01-25,1973-01-31
11703,"Assigning policy development and direction functions with respect to the oil import control program",1973-02-07,1973-02-08
11704,"Further exempting A. Everett MacIntyre from compulsory retirement for age",1973-02-28,1973-03-02
11705,"The Honorable Cleo A. Noel, Junior George Curtis Moore",1973-03-06,1973-03-07
11706,"Inspection of returns by U.S. attorneys and attorneys of Department of Justice and use of returns in grand jury proceedings and in litigation",1973-03-08,1973-03-12
11707,"Change in boundaries of New England River Basins Commission",1973-03-12,1973-03-14
11708,"Placing certain positions in levels IV and V of the Executive Schedule",1973-03-23,1973-03-27
11709,"Inspection by Department of Agriculture of income tax returns made under the Internal Revenue Code of 1954 of persons having farm operations",1973-03-27,1973-03-29
11710,"National Commission for Industrial Peace",1973-04-04,1973-04-10
11711,"Inspection of income, excess-profits, estate, and gift tax returns by the Senate Committee on Government Operations",1973-04-13,1973-04-17
11712,"Special Committee on Energy and National Energy Office",1973-04-18,1973-04-19
11713,"Delegating certain functions vested in the President to the Administrator of General Services",1973-04-21,1973-04-24
11714,"Amending Executive Order No. 11652 on classification and declassification of national security information and material",1973-04-24,1973-04-26
11715,"Amending Executive Order No. 11708, placing certain positions in levels IV and V of the Executive Schedule",1973-04-24,1973-04-26
11716,"Amending Executive Order No. 11157 as it relates to incentive pay for hazardous duty",1973-04-26,1973-04-30
11717,"Transferring certain functions from the Office of Management and Budget to the General Services Administration and the Department of Commerce",1973-05-09,1973-05-11
11718,"Designating the International Telecommunications Satellite Organization (INTELSAT) as an international organization entitled to enjoy certain privileges, exemptions, and immunities",1973-05-14,1973-05-16
11719,"Inspection of income, estate, and gift tax returns by the Committee on Public Works, House of Representatives",1973-05-17,1973-05-21
11720,"Inspection of income, excess-profits, estate, gift, and excise tax returns by the Senate Committee on Commerce",1973-05-17,1973-05-21
11721,"Providing for Federal pay administration",1973-05-23,1973-05-25
11722,"Inspection of income, estate, and gift tax returns by the Committee on Internal Security, House of Representatives",1973-06-09,1973-06-12
11723,"Further providing for the stabilization of the economy",1973-06-13,1973-06-15
11724,"Federal Property Council",1973-06-25,1973-06-27
11725,"Transfer of certain functions of the Office of Emergency Preparedness",1973-06-27,1973-06-29
11726,"Energy Policy Office",1973-06-29,1973-07-03
11727,"Drug law enforcement",1973-07-06,1973-07-10
11728,"Amending section 104(b)(1) of Executive Order No. 11157, as it relates to incentive pay for hazardous duty involving aerial flight",1973-07-12,1973-07-16
11729,"Amending Executive Order No. 11710 of April 4, 1973, relative to the National Commission for Industrial Peace",1973-07-12,1973-07-16
11730,"Further providing for the stabilization of the economy",1973-07-18,1973-07-19
11731,"Amending Executive Order No. 11647 relating to Federal Regional Councils",1973-07-23,1973-07-25
11732,"Delegating certain authority of the President to the Secretary of Housing and Urban Development",1973-07-30,1973-08-01
11733,"Further amending Executive Order No. 10122 of April 14, 1950, entitled ``Regulations governing payment of disability retirement pay hospitalization, and re-examination of members and former members of the Uniformed Services''",1973-07-30,1973-08-01
11734,"Revising the membership of the President's Committee on the National Medal of Science",1973-07-30,1973-08-01
11735,"Assignment of functions under section 311 of the Federal Water Pollution Control Act, as amended",1973-08-03,1973-08-07
11736,"Amending Executive Order No. 11708, placing certain positions in levels IV and V of the Executive Schedule",1973-08-06,1973-08-08
11737,"Enlargement of the Upper Mississippi River Basin Commission",1973-09-07,1973-09-11
11738,"Providing for administration of the Clean Air Act and the Federal Water Pollution Control Act with respect to Federal contracts, grants or loans",1973-09-10,1973-09-12
11739,"Adjusting rates of pay for certain statutory pay systems",1973-10-03,1973-10-05
11740,"Adjusting the rates of monthly basic pay for members of the Uniformed Services",1973-10-03,1973-10-05
11741,"Federal agency use of the official American Revolution Bicentennial symbol",1973-10-15,1973-10-17
11742,"Delegating to the Secretary of State certain functions with respect to the negotiation of international agreements relating to the enhancement of the environment",1973-10-23,1973-10-25
