citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
74 FR 8139, E9-4068,8140,"",13503,https://www.federalregister.gov/documents/2009/02/24/E9-4068/establishment-of-the-white-house-office-of-urban-affairs,https://www.gpo.gov/fdsys/pkg/FR-2009-02-24/pdf/E9-4068.pdf,02/24/2009,02/19/2009,8139,Establishment of the White House Office of Urban Affairs
74 FR 8431, E9-4103,8431,"Amends: EO 13390, November 1, 2005",13504,https://www.federalregister.gov/documents/2009/02/24/E9-4103/amending-executive-order-13390,https://www.gpo.gov/fdsys/pkg/FR-2009-02-24/pdf/E9-4103.pdf,02/24/2009,02/20/2009,8429,Amending Executive Order 13390
74 FR 10667, E9-5441,10668,"Revokes: EO 13435, June 20, 2007",13505,https://www.federalregister.gov/documents/2009/03/11/E9-5441/removing-barriers-to-responsible-scientific-research-involving-human-stem-cells,https://www.gpo.gov/fdsys/pkg/FR-2009-03-11/pdf/E9-5441.pdf,03/11/2009,03/09/2009,10665,Removing Barriers to Responsible Scientific Research Involving Human Stem Cells
74 FR 11271, E9-5802,11273,"",13506,https://www.federalregister.gov/documents/2009/03/16/E9-5802/establishing-a-white-house-council-on-women-and-girls,https://www.gpo.gov/fdsys/pkg/FR-2009-03-16/pdf/E9-5802.pdf,03/16/2009,03/11/2009,11269,Establishing a White House Council on Women And Girls
74 FR 17071, E9-8572,17073,"Revoked by: EO 13569, April 5, 2011",13507,https://www.federalregister.gov/documents/2009/04/13/E9-8572/establishment-of-the-white-house-office-of-health-reform,https://www.gpo.gov/fdsys/pkg/FR-2009-04-13/pdf/E9-8572.pdf,04/13/2009,04/08/2009,17071,Establishment of the White House Office of Health Reform
74 FR 23099, E9-11547,23104,"",13508,https://www.federalregister.gov/documents/2009/05/15/E9-11547/chesapeake-bay-protection-and-restoration,https://www.gpo.gov/fdsys/pkg/FR-2009-05-15/pdf/E9-11547.pdf,05/15/2009,05/12/2009,23097,Chesapeake Bay Protection and Restoration
74 FR 30903, E9-15368,30905,"Revoked by: EO 13578, July 6, 2011",13509,https://www.federalregister.gov/documents/2009/06/26/E9-15368/establishing-a-white-house-council-on-automotive-communities-and-workers,https://www.gpo.gov/fdsys/pkg/FR-2009-06-26/pdf/E9-15368.pdf,06/26/2009,06/23/2009,30901,Establishing a White House Council on Automotive Communities and Workers
74 FR 32047, E9-16034,32047,"",13510,https://www.federalregister.gov/documents/2009/07/06/E9-16034/waiver-under-the-trade-act-of-1974-with-respect-to-the-republic-of-belarus,https://www.gpo.gov/fdsys/pkg/FR-2009-07-06/pdf/E9-16034.pdf,07/06/2009,07/01/2009,32045,Waiver Under the Trade Act of 1974 With Respect to the Republic of Belarus
74 FR 50909, E9-23886,50910,"Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12367, February 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13226, September 30, 2001; EO 13231, October 16, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002; ;;
 ;  Supersedes in part: EO 13446, September 28, 2007;;
 ;  Superseded by: EO 13585, September 30, 2011",13511,https://www.federalregister.gov/documents/2009/10/01/E9-23886/continuance-of-certain-federal-advisory-committees,https://www.gpo.gov/fdsys/pkg/FR-2009-10-01/pdf/E9-23886.pdf,10/01/2009,09/29/2009,50907,Continuance of Certain Federal Advisory Committees
74 FR 50911, E9-23915,50911,"Amends: EO 13390, November 1, 2005",13512,https://www.federalregister.gov/documents/2009/10/02/E9-23915/amending-executive-order-13390,https://www.gpo.gov/fdsys/pkg/FR-2009-10-02/pdf/E9-23915.pdf,10/02/2009,09/29/2009,50911,Amending Executive Order 13390
74 FR 51225, E9-24203,51227,"",13513,https://www.federalregister.gov/documents/2009/10/06/E9-24203/federal-leadership-on-reducing-text-messaging-while-driving,https://www.gpo.gov/fdsys/pkg/FR-2009-10-06/pdf/E9-24203.pdf,10/06/2009,10/01/2009,51225,Federal Leadership On Reducing Text Messaging While Driving
74 FR 52117, E9-24518,52127,"See: EO 13423, January 24, 2007; EO 13677, September 23, 2014
Revoked by: EO 13693, March 25, 2015",13514,https://www.federalregister.gov/documents/2009/10/08/E9-24518/federal-leadership-in-environmental-energy-and-economic-performance,https://www.gpo.gov/fdsys/pkg/FR-2009-10-08/pdf/E9-24518.pdf,10/08/2009,10/05/2009,52115,"Federal Leadership in Environmental, Energy, and Economic Performance"
74 FR 53635, E9-25268,53638,"Supersedes: EO 13125, June 7, 1999; EO 13339, May 13, 2004;
 Amended by: EO 13585, September 30, 2011; EO 13652, September 30, 2013;
 Continued by: EO 13652, September 30, 2013;  EO 13708, September 30, 2015",13515,https://www.federalregister.gov/documents/2009/10/19/E9-25268/increasing-participation-of-asian-americans-and-pacific-islanders-in-federal-programs,https://www.gpo.gov/fdsys/pkg/FR-2009-10-19/pdf/E9-25268.pdf,10/19/2009,10/14/2009,53633,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs
74 FR 56521, E9-26408,56522,"Federal Register correction page and date: 74 FR 57241, November 5, 2009",13516,https://www.federalregister.gov/documents/2009/11/02/E9-26408/amending-executive-order-13462,https://www.gpo.gov/fdsys/pkg/FR-2009-11-02/pdf/E9-26408.pdf,11/02/2009,10/28/2009,56521,Amending Executive Order 13462
74 FR 57239, E9-26834,57240,"Amends: EO 13183, December 23, 2000; EO 13494, January 30, 2009",13517,https://www.federalregister.gov/documents/2009/11/05/E9-26834/amendments-to-executive-orders-13183-and-13494,https://www.gpo.gov/fdsys/pkg/FR-2009-11-05/pdf/E9-26834.pdf,11/05/2009,10/30/2009,57239,Amendments to Executive Orders 13183 and 13494
74 FR 58533, E9-27441,58536,"See: EO 13583, August 18, 2011",13518,https://www.federalregister.gov/documents/2009/11/13/E9-27441/employment-of-veterans-in-the-federal-government,https://www.gpo.gov/fdsys/pkg/FR-2009-11-13/pdf/E9-27441.pdf,11/13/2009,11/09/2009,58533,Employment of Veterans in the Federal Government
74 FR 60123, E9-28022,60125,"Terminates: EO 13271, July 9, 2002",13519,https://www.federalregister.gov/documents/2009/11/19/E9-28022/establishment-of-the-financial-fraud-enforcement-task-force,https://www.gpo.gov/fdsys/pkg/FR-2009-11-19/pdf/E9-28022.pdf,11/19/2009,11/17/2009,60121,Establishment of the Financial Fraud Enforcement Task Force
74 FR 62201, E9-28493,62205,"",13520,https://www.federalregister.gov/documents/2009/11/25/E9-28493/reducing-improper-payments,https://www.gpo.gov/fdsys/pkg/FR-2009-11-25/pdf/E9-28493.pdf,11/25/2009,11/20/2009,62201,Reducing Improper Payments
74 FR 62671, E9-28805,62673,"Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015
See: EO 13591, November 23, 2011
Supersedes: EO 13237, November 28, 2001",13521,https://www.federalregister.gov/documents/2009/11/30/E9-28805/establishing-the-presidential-commission-for-the-study-of-bioethical-issues,https://www.gpo.gov/fdsys/pkg/FR-2009-11-30/pdf/E9-28805.pdf,11/30/2009,11/24/2009,62669,Establishing the Presidential Commission for the Study of Bioethical Issues
74 FR 66203, E9-29781,66206,"Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015
See: EO 13591, November 23, 2011",13522,https://www.federalregister.gov/documents/2009/12/14/E9-29781/creating-labor-management-forums-to-improve-delivery-of-government-services,https://www.gpo.gov/fdsys/pkg/FR-2009-12-14/pdf/E9-29781.pdf,12/14/2009,12/09/2009,66201,Creating Labor-Management Forums to Improve Delivery of Government Services
74 FR 67803, E9-30413,67803,"Amends: EO 12425, June 16, 1983",13524,https://www.federalregister.gov/documents/2009/12/21/E9-30413/amending-executive-order-12425-designating-interpol-as-a-public-international-organization-entitled,https://www.gpo.gov/fdsys/pkg/FR-2009-12-21/pdf/E9-30413.pdf,12/21/2009,12/16/2009,67803,"Amending Executive Order 12425 Designating Interpol as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities"
74 FR 69231, E9-31098,69242,"",13525,https://www.federalregister.gov/documents/2009/12/30/E9-31098/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-2009-12-30/pdf/E9-31098.pdf,12/30/2009,12/23/2009,69231,Adjustments of Certain Rates of Pay
75 FR 705, E9-31418,731,"Federal Register correction page and date: 75 FR 1013, January 8, 2010, Executive Order 13526 - Correction;;
 ;  Revokes: EO 12958, April 17, 1995; EO 13292, March 25, 2003;;
 ;  See: EO 12333, December 4, 1981; Memorandum of December 29, 2009 (75 FR 733); Order of December 29, 2009 (75 FR 735); EO 13549, August 18, 2010; EO 13556, November 4, 2010; EO 13618, July 6, 2012",13526,https://www.federalregister.gov/documents/2010/01/05/E9-31418/classified-national-security-information,https://www.gpo.gov/fdsys/pkg/FR-2010-01-05/pdf/E9-31418.pdf,01/05/2010,12/29/2010,705,Classified National Security Information
75 FR 737, 2010-38,738,"",13527,https://www.federalregister.gov/documents/2010/01/06/2010-38/establishing-federal-capability-for-the-timely-provision-of-medical-countermeasures-following-a,https://www.gpo.gov/fdsys/pkg/FR-2010-01-06/pdf/2010-38.pdf,01/06/2010,12/30/2009,737,Establishing Federal Capability for the Timely Provision of Medical Countermeasures Following a Biological Attack
75 FR 2053, 2010-705,2054,"",13528,https://www.federalregister.gov/documents/2010/01/14/2010-705/establishment-of-the-council-of-governors,https://www.gpo.gov/fdsys/pkg/FR-2010-01-14/pdf/2010-705.pdf,01/14/2010,01/11/2010,2053,Establishment of the Council of Governors
75 FR 3331, 2010-1229,3331,"",13529,https://www.federalregister.gov/documents/2010/01/21/2010-1229/ordering-the-selected-reserve-and-certain-individual-ready-reserve-members-of-the-armed-forces-to,https://www.gpo.gov/fdsys/pkg/FR-2010-01-21/pdf/2010-1229.pdf,01/21/2010,01/16/2010,3331,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty
75 FR 5481, 2010-2419,5483,"Amended by: EO 13591, November 23, 2011",13530,https://www.federalregister.gov/documents/2010/02/03/2010-2419/presidents-advisory-council-on-financial-capability,https://www.gpo.gov/fdsys/pkg/FR-2010-02-03/pdf/2010-2419.pdf,02/03/2010,01/29/2010,5481,President's Advisory Council on Financial Capability
75 FR 7927, 2010-3725,7928,"",13531,https://www.federalregister.gov/documents/2010/02/23/2010-3725/national-commission-on-fiscal-responsibility-and-reform,https://www.gpo.gov/fdsys/pkg/FR-2010-02-23/pdf/2010-3725.pdf,02/23/2010,02/18/2010,7927,National Commission on Fiscal Responsibility and Reform
75 FR 9747, 2010-4593,9752,"See: EO 13591, November 23, 2011;
 Amended by: EO 13569, April 5, 2011;
 Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015
 Revokes: EO 13256, February 12, 2002;
 See: EO 13591, November 23, 2011; EO 13621, July 26, 2012",13532,https://www.federalregister.gov/documents/2010/03/03/2010-4593/promoting-excellence-innovation-and-sustainability-at-historically-black-colleges-and-universities,https://www.gpo.gov/fdsys/pkg/FR-2010-03-03/pdf/2010-4593.pdf,03/03/2010,02/26/2010,9747,"Promoting Excellence, Innovation, and Sustainability at Historically Black Colleges and Universities"
75 FR 10163, 2010-4884,10164,"Revokes: EO 13394, December 22, 2005",13533,https://www.federalregister.gov/documents/2010/03/05/2010-4884/providing-an-order-of-succession-within-the-department-of-defense,https://www.gpo.gov/fdsys/pkg/FR-2010-03-05/pdf/2010-4884.pdf,03/05/2010,03/01/2010,10163,Providing an Order of Succession Within the Department of Defense
75 FR 12433, 2010-5837,12435,"See: EO 12870, September 30, 1993; EO 13630, December 6, 2012",13534,https://www.federalregister.gov/documents/2010/03/16/2010-5837/national-export-initiative,https://www.gpo.gov/fdsys/pkg/FR-2010-03-16/pdf/2010-5837.pdf,03/16/2010,03/11/2010,12433,National Export Initiative
75 FR 15597, 2010-7154,15600,"",13535,https://www.federalregister.gov/documents/2010/03/29/2010-7154/ensuring-enforcement-and-implementation-of-abortion-restrictions-in-the-patient-protection-and,https://www.gpo.gov/fdsys/pkg/FR-2010-03-29/pdf/2010-7154.pdf,03/29/2010,03/24/2010,15597,Ensuring Enforcement and Implementation of Abortion Restrictions in the Patient Protection and Affordable Care Act
75 FR 19869, 2010-8878,19872,"See: EO 13620, July 20, 2012",13536,https://www.federalregister.gov/documents/2010/04/15/2010-8878/blocking-property-of-certain-persons-contributing-to-the-conflict-in-somalia,https://www.gpo.gov/fdsys/pkg/FR-2010-04-15/pdf/2010-8878.pdf,04/15/2010,04/12/2010,19869,Blocking Property of Certain Persons Contributing to the Conflict in Somalia
75 FR 20237, 2010-9078,20238,"Supersedes: EO 13299, May 8, 2003",13537,https://www.federalregister.gov/documents/2010/04/19/2010-9078/interagency-group-on-insular-areas,https://www.gpo.gov/fdsys/pkg/FR-2010-04-19/pdf/2010-9078.pdf,04/19/2010,04/14/2010,20237,Interagency Group on Insular Areas
75 FR 20895, 2010-9451,20896,"Amended by: EO 13652, September 30, 2013
Continued by: EO 13652, September 30, 2013;  EO 13708, September 30, 2015
See: EO 13591, November 23, 2011",13538,https://www.federalregister.gov/documents/2010/04/22/2010-9451/establishing-the-presidents-management-advisory-board,https://www.gpo.gov/fdsys/pkg/FR-2010-04-22/pdf/2010-9451.pdf,04/22/2010,04/19/2010,20895,Establishing the President's Management Advisory Board
75 FR 21973, 2010-9796,21975,"Revokes: EO 13226, September 30, 2001
See: EO 12968, August 2, 1995; EO 13591, November 23, 2011
Amended by: EO 13596, December 19, 2011
Continued by: EO 13652, September 30, 2013;  EO 13708, September 30, 2015",13539,https://www.federalregister.gov/documents/2010/04/27/2010-9796/presidents-council-of-advisors-on-science-and-technology,https://www.gpo.gov/fdsys/pkg/FR-2010-04-27/pdf/2010-9796.pdf,04/27/2010,04/21/2010,21973,President's Council of Advisors on Science and Technology
75 FR 22497, 2010-10172,22498,"Continued by: EO 13652, September 30, 2013;  EO 13708, September 30, 2015
Supersedes: EO 13299, May 8, 2003",13540,https://www.federalregister.gov/documents/2010/04/29/2010-10172/interagency-task-force-on-veterans-small-business-development,https://www.gpo.gov/fdsys/pkg/FR-2010-04-29/pdf/2010-10172.pdf,04/29/2010,04/26/2010,22497,Interagency Task Force on Veterans Small Business Development
75 FR 26879, 2010-11557,26880,"",13541,https://www.federalregister.gov/documents/2010/05/12/2010-11557/temporary-organization-to-facilitate-a-strategic-partnership-with-the-republic-of-iraq,https://www.gpo.gov/fdsys/pkg/FR-2010-05-12/pdf/2010-11557.pdf,05/12/2010,05/07/2010,26879,Temporary Organization To Facilitate a Strategic Partnership With the Republic of Iraq
75 FR 27921, 2010-12070,27922,"Revokes: EO 13241, December 18, 2001",13542,https://www.federalregister.gov/documents/2010/05/18/2010-12070/providing-an-order-of-succession-within-the-department-of-agriculture,https://www.gpo.gov/fdsys/pkg/FR-2010-05-18/pdf/2010-12070.pdf,05/18/2010,05/13/2010,27921,Providing an Order of Succession Within the Department of Agriculture
75 FR 29397, 2010-12805,29398,"",13543,https://www.federalregister.gov/documents/2010/05/26/2010-12805/national-commission-on-the-bp-deepwater-horizon-oil-spill-and-offshore-drilling,https://www.gpo.gov/fdsys/pkg/FR-2010-05-26/pdf/2010-12805.pdf,05/26/2010,05/21/2010,29397,National Commission on the BP Deepwater Horizon Oil Spill and Offshore Drilling
75 FR 33983, 2010-14613,33986,"See: EO 13591, November 23, 2011; EO 13631, December 7, 2012; EO 13652, September 30, 2013
Continued by:  EO 13708, September 30, 2015",13544,https://www.federalregister.gov/documents/2010/06/16/2010-14613/establishing-the-national-prevention-health-promotion-and-public-health-council,https://www.gpo.gov/fdsys/pkg/FR-2010-06-16/pdf/2010-14613.pdf,06/16/2010,06/10/2010,33983,"Establishing the National Prevention, Health Promotion, and Public Health Council"
75 FR 37281, 2010-15851,37285,"See: EO 10830, July 24, 1959",13545,https://www.federalregister.gov/documents/2010/06/28/2010-15851/presidents-council-on-fitness-sports-and-nutrition,https://www.gpo.gov/fdsys/pkg/FR-2010-06-28/pdf/2010-15851.pdf,06/28/2010,06/22/2010,37281,"President's Council on Fitness, Sports, and Nutrition"
75 FR 39437, 2010-16864,39442,"",13546,https://www.federalregister.gov/documents/2010/07/08/2010-16864/optimizing-the-security-of-biological-select-agents-and-toxins-in-the-united-states,https://www.gpo.gov/fdsys/pkg/FR-2010-07-08/pdf/2010-16864.pdf,07/08/2010,07/02/2010,39437,Optimizing the Security of Biological Select Agents and Toxins in the United States
75 FR 43021, 2010-18169,43027,"Revokes: EO 13366, December 17, 2004",13547,https://www.federalregister.gov/documents/2010/07/22/2010-18169/stewardship-of-the-ocean-our-coasts-and-the-great-lakes,https://www.gpo.gov/fdsys/pkg/FR-2010-07-22/pdf/2010-18169.pdf,07/22/2010,07/19/2010,43021,"Stewardship of the Ocean, Our Coasts, and the Great Lakes"
75 FR 45039, 2010-18988,45041,"See: EO 13163, July 26, 2000; EO 13583, August 18, 2011",13548,https://www.federalregister.gov/documents/2010/07/30/2010-18988/increasing-federal-employment-of-individuals-with-disabilities,https://www.gpo.gov/fdsys/pkg/FR-2010-07-30/pdf/2010-18988.pdf,07/30/2010,07/26/2010,45039,Increasing Federal Employment of Individuals With Disabilities
75 FR 51609, 2010-21016,51614,"See: EO 12333, December 4, 1981; EO 12829, January 6, 1993; EO 12968, August 2, 1995; EO 13467, June 30, 2008; EO 13526, December 29, 2009; EO 13591, November 23, 2011; EO 13636, February 12, 2013; EO 13691, February 13, 2015
Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015",13549,https://www.federalregister.gov/documents/2010/08/23/2010-21016/classified-national-security-information-program-for-state-local-tribal-and-private-sector-entities,https://www.gpo.gov/fdsys/pkg/FR-2010-08-23/pdf/2010-21016.pdf,08/23/2010,08/18/2010,51609,"Classified National Security Information Program for State, Local, Tribal, and Private Sector Entities"
75 FR 51615, 2010-21020,51616,"",13550,https://www.federalregister.gov/documents/2010/08/23/2010-21020/establishment-of-pakistan-and-afghanistan-support-office,https://www.gpo.gov/fdsys/pkg/FR-2010-08-23/pdf/2010-21020.pdf,08/23/2010,08/18/2010,51615,Establishment of Pakistan and Afghanistan Support Office
75 FR 53837, 2010-22002,53840,"",13551,https://www.federalregister.gov/documents/2010/09/01/2010-22002/blocking-property-of-certain-persons-with-respect-to-north-korea,https://www.gpo.gov/fdsys/pkg/FR-2010-09-01/pdf/2010-22002.pdf,09/01/2010,08/30/2010,53837,Blocking Property of Certain Persons With Respect to North Korea
75 FR 54263, 2010-22279,54270,"See: EO 12473, April 13, 1984",13552,https://www.federalregister.gov/documents/2010/09/03/2010-22279/2010-amendments-to-the-manual-for-courts-martial-united-states,https://www.gpo.gov/fdsys/pkg/FR-2010-09-03/pdf/2010-22279.pdf,09/03/2010,08/31/2010,54263,"2010 Amendments to the Manual for Courts-Martial, United States"
75 FR 60567, 2010-24839,60571,"See: EO 12957, March 15, 1995",13553,https://www.federalregister.gov/documents/2010/10/01/2010-24839/blocking-property-of-certain-persons-with-respect-to-serious-human-rights-abuses-by-the-government,https://www.gpo.gov/fdsys/pkg/FR-2010-10-01/pdf/2010-24839.pdf,10/01/2010,09/28/2010,60567,Blocking Property of Certain Persons With Respect to Serious Human Rights Abuses by the Government of Iran and Taking Certain Other Actions
75 FR 62313, 2010-25578,62317,"See: EO 13626, September 10, 2012",13554,https://www.federalregister.gov/documents/2010/10/08/2010-25578/establishing-the-gulf-coast-ecosystem-restoration-task-force,https://www.gpo.gov/fdsys/pkg/FR-2010-10-08/pdf/2010-25578.pdf,10/08/2010,10/05/2010,62313,Establishing the Gulf Coast Ecosystem Restoration Task Force
75 FR 65415, 2010-27004,65421,"See: EO 13634, December 21, 2012; EO 13652, September 30, 2013
Continued by: EO 13708, September 30, 2015",13555,https://www.federalregister.gov/documents/2010/10/22/2010-27004/white-house-initiative-on-educational-excellence-for-hispanics,https://www.gpo.gov/fdsys/pkg/FR-2010-10-22/pdf/2010-27004.pdf,10/22/2010,10/19/2010,65415,White House Initiative on Educational Excellence for Hispanics
75 FR 68675, 2010-28360,68677,"Revokes: Memorandum of May 7, 2008;;
 ;  See: EO 13526, December 29, 2009",13556,https://www.federalregister.gov/documents/2010/11/09/2010-28360/controlled-unclassified-information,https://www.gpo.gov/fdsys/pkg/FR-2010-11-09/pdf/2010-28360.pdf,11/09/2010,11/04/2010,68675,Controlled Unclassified Information
75 FR 68679, 2010-28365,68680,"Revokes: EO 13481, December 9, 2008",13557,https://www.federalregister.gov/documents/2010/11/09/2010-28365/providing-an-order-of-succession-within-the-department-of-justice,https://www.gpo.gov/fdsys/pkg/FR-2010-11-09/pdf/2010-28365.pdf,11/09/2010,11/04/2010,68679,Providing an Order of Succession Within the Department of Justice
75 FR 69573, 2010-28854,69574,"",13558,https://www.federalregister.gov/documents/2010/11/15/2010-28854/export-enforcement-coordination-center,https://www.gpo.gov/fdsys/pkg/FR-2010-11-15/pdf/2010-28854.pdf,11/15/2010,11/09/2010,69573,Export Enforcement Coordination Center
75 FR 71317, 2010-29579,71323,"Amends: EO 13279, December 12, 2002;;
 ;  See: EO 13198, January 29, 2001; EO 13199, January 29, 2001; EO 13498, February 5, 2009",13559,https://www.federalregister.gov/documents/2010/11/22/2010-29579/fundamental-principles-and-policymaking-criteria-for-partnerships-with-faith-based-and-other,https://www.gpo.gov/fdsys/pkg/FR-2010-11-22/pdf/2010-29579.pdf,11/22/2010,11/17/2010,71317,Fundamental Principles and Policymaking Criteria for Partnerships With Faith-Based and Other Neighborhood Organizations
75 FR 78875, 2010-31878,78876,"Superseded by: EO 13748, November 16, 2016",13560,https://www.federalregister.gov/documents/2010/12/17/2010-31878/white-house-council-for-community-solutions,https://www.gpo.gov/fdsys/pkg/FR-2010-12-17/pdf/2010-31878.pdf,12/17/2010,12/14/2010,78875,White House Council for Community Solutions
75 FR 81817, 2010-32960,81828,"",13561,https://www.federalregister.gov/documents/2010/12/29/2010-32960/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-2010-12-29/pdf/2010-32960.pdf,12/29/2010,12/22/2010,81817,Adjustments of Certain Rates of Pay
