id,title,signing_date,published_date
12252,"The Honorable John William McCormack",1980-11-24,1980-11-26
12253,"Central Intelligence Agency Retirement and Disability System",1980-11-26,1980-11-28
12254,"National Advisory Community Investment Board",1980-12-03,1980-12-05
12255,"Providing for the Closing of Government Departments and Agencies on Friday, December 26, 1980",1980-12-05,1980-12-08
12256,"Census statistics on legal immigrants",1980-12-15,1980-12-18
12257,"Noncompetitive Conversion of CETA Participants to Career or Career-Conditional Civil Service Status",1980-12-18,1980-12-22
12258,"Continuance of Certain Federal Advisory Committees",1980-12-31,1981-01-06
12259,"Leadership and coordination of fair housing in Federal programs",1980-12-31,1981-01-06
12260,"Agreement on Government procurement",1980-12-31,1981-01-06
12261,"Gasohol in Federal motor vehicles",1981-01-05,1981-01-08
12262,"Interagency Employee Benefit Council",1981-01-07,1981-01-09
12263,"Strategic and critical materials transaction authority",1981-01-08,1981-01-09
12264,"Federal policy regarding the export of banned or significantly restricted materials",1981-01-15,1981-01-19
12265,"Providing for enhancement and coordination of Federal consumer programs",1981-01-15,1981-01-19
12266,"Food security wheat reserve",1981-01-15,1981-01-19
12267,"Amending the Generalized System of Preferences",1981-01-15,1981-01-19
12268,"Hostage Relief Act of 1980",1981-01-15,1981-01-19
12269,"President's Committee on Small Business Policy",1981-01-15,1981-01-19
12270,"President's Council on Spinal Cord Injury",1981-01-15,1981-01-19
12271,"Continuance of certain Federal advisory committees",1981-01-15,1981-01-19
12272,"Foreign Service Retirement and Disability System",1981-01-16,1981-01-21
12273,"Central Intelligence Agency Retirement and Disability System",1981-01-16,1981-01-21
12274,"Military pay and allowances",1981-01-16,1981-01-21
12275,"Design Liaison Council",1981-01-16,1981-01-21
12276,"Direction relating to establishment of escrow accounts",1981-01-19,1981-01-23
12277,"Direction to transfer Iranian Government assets",1981-01-19,1981-01-23
12278,"Direction to transfer Iranian Government assets overseas",1981-01-19,1981-01-23
12279,"Direction to transfer Iranian Government assets held by domestic banks",1981-01-19,1981-01-23
12280,"Direction to transfer Iranian Government financial assets held by non-banking institutions",1981-01-19,1981-01-23
12281,"Direction to transfer certain Iranian Government assets",1981-01-19,1981-01-23
12282,"Revocation of prohibitions against transactions involving Iran",1981-01-19,1981-01-23
12283,"Non-prosecution of claims of hostages and for actions at the United States Embassy and elsewhere",1981-01-19,1981-01-23
12284,"Restrictions on the transfer of property of the former Shah of Iran",1981-01-19,1981-01-23
12285,"President's Commission on Hostage Compensation",1981-01-19,1981-01-23
12286,"Responses to environmental damage",1981-01-19,1981-01-30
