citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
NA,94-7635,0,"Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005;
 Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; EO 13652, September 30, 2013;
 See: EO 13585, September 30, 2011",12905,https://www.federalregister.gov/documents/1994/03/29/94-7635/trade-and-environment-policy-advisory-committee,NA,3/29/94,3/25/94,0,Trade and Environment Policy Advisory Committee
NA,94-9117,0,"Amended by: EO 13286, February 28, 2003",12906,https://www.federalregister.gov/documents/1994/04/13/94-9117/coordinating-geographic-data-acquisition-and-access-the-national-spatial-data-infrastructure,NA,4/13/94,4/11/94,0,Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure
NA,94-9419,0,"Amends: EO 12882, November 23, 1993;;
 ;  Revoked by: EO 13226, September 30, 2001",12907,https://www.federalregister.gov/documents/1994/04/18/94-9419/amending-executive-order-no-12882,NA,4/18/94,4/14/94,0,Amending Executive Order No. 12882
NA,94-10241,0,NA,12908,https://www.federalregister.gov/documents/1994/04/26/94-10241/order-of-succession-of-officers-to-act-as-secretary-of-the-army,NA,4/26/94,4/22/94,0,Order of Succession of Officers To Act as Secretary of the Army
NA,94-10242,0,NA,12909,https://www.federalregister.gov/documents/1994/04/26/94-10242/order-of-succession-of-officers-to-act-as-secretary-of-the-air-force,NA,4/26/94,4/22/94,0,Order of Succession of Officers To Act as Secretary of the Air Force
NA,94-10249,0,Note: In memoriam of President Nixon,12910,https://www.federalregister.gov/documents/1994/04/26/94-10249/providing-for-the-closing-of-government-departments-and-agencies-on-april-27-1994,NA,4/26/94,4/23/94,0,"Providing for the Closing of Government Departments and agencies on April 27, 1994"
NA,94-13090,0,NA,12911,https://www.federalregister.gov/documents/1994/05/27/94-13090/safety-and-security-zone-lake-michiganchicago-harborburnham-park-harbor,NA,5/27/94,4/25/94,0,Safety and Security Zone; Lake MichiganChicago HarborBurnham Park Harbor
NA,94-10794,0,"Amends: EO 12878, November 5, 1993;;
 ;  See EO 12974, September 29, 1995",12912,https://www.federalregister.gov/documents/1994/05/03/94-10794/amendment-to-executive-order-no-12878,NA,5/3/94,4/29/94,0,Amendment to Executive Order No. 12878
NA,94-10932,0,"Revokes: EO 12582, February 2, 1987",12913,https://www.federalregister.gov/documents/1994/05/04/94-10932/revocation-of-executive-order-no-12582,NA,5/4/94,5/2/94,0,Revocation of Executive Order No. 12582
NA,94-11547,0,"Revoked by: EO 12932, October 14, 1994;;
 ;  See: 59 FR 25809; 59 FR 26333; 59 FR 32744; EO 12922, June 21, 1994; 59 FR 51066; Notice of September 30, 1994",12914,https://www.federalregister.gov/documents/1994/05/10/94-11547/prohibiting-certain-transactions-with-respect-to-haiti,NA,5/10/94,5/7/94,0,Prohibiting Certain Transactions With Respect to Haiti
NA,94-12275,0,"Continued by: EO 13708, September 30, 2015",12915,https://www.federalregister.gov/documents/1994/05/18/94-12275/federal-implementation-of-the-north-american-agreement-on-environmental-cooperation,NA,5/18/94,5/13/94,0,Federal Implementation of the North American Agreement on Environmental Cooperation
NA,94-12284,0,"Amended by: EO 13380, June 17, 2005
Continued by: EO 13708, September 30, 2015",12916,https://www.federalregister.gov/documents/1994/05/18/94-12284/implementation-of-the-border-environment-cooperation-commission-and-the-north-american-development,NA,5/18/94,5/13/94,0,Implementation of the Border Environment Cooperation Commission and the North American Development Bank
NA,94-12880,0,"Revokes in part: EO 12779, October 28, 1991; EO 12853, June 30, 1993;;
 ;  Revoked by: EO 12932, October 14, 1994;;
 ;  See: EO 12920, June 10, 1994; 59 FR 51066;;
 ;  Amended by: Notice, September 30, 1994",12917,https://www.federalregister.gov/documents/1994/05/24/94-12880/prohibiting-certain-transactions-with-respect-to-haiti,NA,5/24/94,5/21/94,0,Prohibiting Certain Transactions With Respect to Haiti
NA,94-13391,0,See: 59 FR 28583,12918,https://www.federalregister.gov/documents/1994/05/31/94-13391/prohibiting-certain-transactions-with-respect-to-rwanda-and-delegating-authority-with-respect-to,NA,5/31/94,5/26/94,0,Prohibiting Certain Transactions With Respect to Rwanda and Delegating Authority With Respect to Other United Nations Arms Embargoes
NA,94-14027,0,"Amends: EO 10789, November 14, 1958; EO 11790, June 25, 1974;;
 ;  Amended by: EO 13286, February 28, 2003;;
 ;  Revoked in part by: EO 13456, January 23, 2008;;
 ;  Supersedes or Revokes: EO 8248, September 8, 1939 (in part); EO 10222, March 8, 1951; EO 10480, August 14, 1953; EO 10647, November 28, 1955; EO 11179, September 22, 1964; EO 11355, May 26, 1967; EO 11912, April 13, 1976 (in part); EO 12148, July 20, 1979 (in part); EO 12521, June 24, 1985; EO 12649, August 11, 1988; EO 12773, September 26, 1991 (in part)",12919,https://www.federalregister.gov/documents/1994/06/07/94-14027/national-defense-industrial-resources-preparedness,NA,6/7/94,6/3/94,0,National Defense Industrial Resources Preparedness
NA,94-14582,0,"Revoked by: EO 12932, October 14, 1994;;
 ;  See: Notice, September 30, 1994; 59 FR 51066",12920,https://www.federalregister.gov/documents/1994/06/14/94-14582/prohibiting-certain-transactions-with-respect-to-haiti,NA,6/14/94,6/10/94,0,Prohibiting Certain Transactions With Respect to Haiti
NA,94-14728,0,"Amends: 12864, September 15, 1993;;
 ;  Revoked by: EO 13062, September 29, 1997",12921,https://www.federalregister.gov/documents/1994/06/15/94-14728/amendment-to-executive-order-no-12864,NA,6/15/94,6/13/94,0,Amendment to Executive Order No. 12864
NA,94-15498,0,"Revoked by: EO 12932, October 14, 1994;;
 ;  See: Notice, September 30, 1994; 59 FR 51066",12922,https://www.federalregister.gov/documents/1994/06/23/94-15498/blocking-property-of-certain-haitian-nationals,NA,6/23/94,6/21/94,0,Blocking Property of Certain Haitian Nationals
NA,94-16403,0,"Revoked by: EO 12924, August 19, 1994;;
 ;  See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993",12923,https://www.federalregister.gov/documents/1994/07/05/94-16403/continuation-of-export-control-regulations,NA,7/5/94,6/30/94,0,Continuation of Export Control Regulations
NA,94-20892,0,"Revokes: EO 12923, June 30, 1994;;
 ;  Continued by: Notice of August 15, 1995; Notice of August 14, 1996; Notice of August 13, 1997; Notice of August 13, 1998; Notice of August 10, 1999;;
 ;  Revoked by: EO 13206, April 4, 2001;;
 ;  See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993; EO 12981, December 5, 1995; EO 13020, October 12, 1996; Notice of August 3, 2000",12924,https://www.federalregister.gov/documents/1994/08/25/94-20892/ronald-e-mcnair-postbaccalaureate-achievement-program-final-rule-department-of-education,NA,8/25/94,8/19/94,0,Ronald E. McNair Postbaccalaureate Achievement Program; Final Rule DEPARTMENT OF EDUCATION
NA,94-21738,0,NA,12925,https://www.federalregister.gov/documents/1994/08/31/94-21738/establishing-an-emergency-board-to-investigate-a-dispute-between-the-soo-line-railroad-company-and,NA,8/31/94,8/29/94,0,Establishing an Emergency Board To Investigate a Dispute Between the Soo Line Railroad Company and Certain of Its Employees Represented by the United Transportation Union
NA,94-22969,0,NA,12926,https://www.federalregister.gov/documents/1994/09/14/94-22969/implementation-of-the-national-voter-registration-act-of-1993,NA,9/14/94,9/12/94,0,Implementation of the National Voter Registration Act of 1993
NA,94-23273,0,NA,12927,https://www.federalregister.gov/documents/1994/09/19/94-23273/ordering-the-selected-reserve-of-the-armed-forces-to-active-duty,NA,9/19/94,9/15/94,0,Ordering the Selected Reserve of the Armed Forces to Active Duty
NA,94-23453,0,NA,12928,https://www.federalregister.gov/documents/1994/09/20/94-23453/promoting-procurement-with-small-businesses-owned-and-controlled-by-socially-and-economically,NA,9/20/94,9/16/94,0,"Promoting Procurement With Small Businesses Owned and Controlled by Socially and Economically Disadvantaged Individuals, Historically Black Colleges and Universities, and Minority Institutions"
NA,94-24589,0,NA,12929,https://www.federalregister.gov/documents/1994/10/03/94-24589/delegation-of-authority-regarding-the-naval-petroleum-and-oil-shale-reserves,NA,10/3/94,9/29/94,0,Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves
NA,94-24617,0,"Revoked by: EO 12938, November 14, 1994",12930,https://www.federalregister.gov/documents/1994/10/03/94-24617/measures-to-restrict-the-participation-by-united-states-persons-in-weapons-proliferation-activities,NA,10/3/94,9/29/94,0,Measures To Restrict the Participation by United States Persons in Weapons Proliferation Activities
NA,94-25837,0,"Revokes: EO 12352, March 17, 1982",12931,https://www.federalregister.gov/documents/1994/10/17/94-25837/federal-procurement-reform,NA,10/17/94,10/13/94,0,Federal Procurement Reform
NA,94-25940,0,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",12932,https://www.federalregister.gov/documents/1994/10/18/94-25940/termination-of-emergency-with-respect-to-haiti,NA,10/18/94,10/14/94,0,Termination of Emergency With Respect to Haiti
NA,94-26517,0,"Revoked by: EO 13204, February 17, 2001;;
 ;  See: Final Rule of May 16, 1997 (62 FR 28176)",12933,https://www.federalregister.gov/documents/1994/10/24/94-26517/national-mammography-day-1994,NA,10/24/94,10/20/94,0,"National Mammography Day, 1994"
NA,94-26834,0,"See: Pres. Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice of May 28, 1997; Notice of May 25, 2000; Notice of May 24, 2001;;
 ;  Revoked by: EO 13304, May 28, 2003",12934,https://www.federalregister.gov/documents/1994/10/27/94-26834/blocking-property-and-additional-measures-with-respect-to-the-bosnian-serb-controlled-areas-of-the,NA,10/27/94,10/25/94,0,Blocking Property and Additional Measures With Respect to the Bosnian Serb-Controlled Areas of the Republic of Bosnia and Herzegovina
NA,94-27135,0,"Amends: EO 11157, June 22, 1964",12935,https://www.federalregister.gov/documents/1994/10/31/94-27135/amending-executive-order-no-11157-as-it-relates-to-the-definition-of-field-duty,NA,10/31/94,10/28/94,0,Amending Executive Order No. 11157 as it Relates to the Definition of ``Field Duty''
NA,94-28430,0,"Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12960, May 12, 1995; EO 13086, May 27, 1998; EO 13140, October 6, 1999",12936,https://www.federalregister.gov/documents/1994/11/15/94-28430/executive-order-12936amendments-to-the-manual-for-courts-martial-united-states-1984,NA,11/15/94,11/10/94,0,"Executive Order 12936Amendments to the Manual for Courts-Martial, United States, 1984"
NA,94-28431,0,NA,12937,https://www.federalregister.gov/documents/1994/11/15/94-28431/declassification-of-selected-records-within-the-national-archives-of-the-united-states,NA,11/15/94,11/10/94,0,Declassification of Selected Records Within the National Archives of the United States
NA,94-28487,0,NA,12938,https://www.federalregister.gov/documents/1994/11/16/94-28487/proliferation-of-weapons-of-mass-destruction,NA,11/16/94,11/14/94,0,Proliferation of Weapons of Mass Destruction
NA,94-29541,0,"Revokes: EO 12735, November 16, 1990; EO 12930, September 29, 1994;;
 ;  Amended by: EO 13094, July 28, 1998; EO 13128, June 25, 1999; EO 13382, June 28, 2005;;
 ;  See: Notice of November 8, 1995; Notice of November 12, 1996; Notice of November 12, 1997; Notice of November 12, 1998; Notice of November 10, 1999; Notice of November 9, 2000; EO 13159, June 21, 2000; EO 13206, April 4, 2001; Notice of November 9, 2001; Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009",12939,https://www.federalregister.gov/documents/1994/11/29/94-29541/expedited-naturalization-of-aliens-and-noncitizen-nationals-who-served-in-an-active-duty-status,NA,11/29/94,11/22/94,0,Expedited Naturalization of Aliens and Noncitizen Nationals Who Served in an Active-Duty Status During the Persian Gulf Conflict
NA,94-29663,0,"Supersedes: EO 12300, March 23, 1981",12940,https://www.federalregister.gov/documents/1994/11/30/94-29663/amendment-to-civil-service-rule-vi,NA,11/30/94,11/28/94,0,Amendment to Civil Service Rule VI
NA,94-30035,0,"Revoked by: EO 13717, February 2, 2016",12941,https://www.federalregister.gov/documents/1994/12/05/94-30035/seismic-safety-of-existing-federally-owned-or-leased-buildings,NA,12/5/94,12/1/94,0,Seismic Safety of Existing Federally Owned or Leased Buildings
NA,94-30997,0,NA,12942,https://www.federalregister.gov/documents/1994/12/15/94-30997/addition-to-level-v-of-the-executive-schedule-commissioner-administration-for-native-americans,NA,12/15/94,12/12/94,0,"Addition to Level V of the Executive Schedule Commissioner, Administration for Native Americans"
NA,94-30998,0,"Amends: EO 11755, December 29, 1973",12943,https://www.federalregister.gov/documents/1994/12/15/94-30998/further-amendment-to-executive-order-no-11755,NA,12/15/94,12/13/94,0,Further Amendment to Executive Order No. 11755
60 FR 309,94-32388,318,"Supersedes: EO 12826 of December 30, 1992; EO 12886 of December 13, 1993;;
 ;  Superseded by: EO 12984 of December 28, 1995;;
 ;  Executive Order 12945 ;;
 ;  Amendment to Executive Order No. 12640;;
 ;  Signed: January 20, 1995;;
 ;  Federal Register page and date: 60 FR 4527; January 24, 1995;;
 ;  Amends: EO 12640, May 10, 1988",12944,https://www.federalregister.gov/documents/1995/01/03/94-32388/adjustments-of-certain-rates-of-pay-and-allowances,https://www.gpo.gov/fdsys/pkg/FR-1995-01-03/pdf/94-32388.pdf,1/3/95,12/28/94,309,Adjustments of Certain Rates of Pay and Allowances
60 FR 4527,95-1877,4527,NA,12945,https://www.federalregister.gov/documents/1995/01/24/95-1877/amendment-to-executive-order-no-12640,https://www.gpo.gov/fdsys/pkg/FR-1995-01-24/pdf/95-1877.pdf,1/24/95,1/20/95,4527,Amendment to Executive Order No. 12640
60 FR 4829,95-1925,4830,"Revoked by: EO 13062, September 29, 1997",12946,https://www.federalregister.gov/documents/1995/01/24/95-1925/presidents-advisory-board-on-arms-proliferation-policy,https://www.gpo.gov/fdsys/pkg/FR-1995-01-24/pdf/95-1925.pdf,1/24/95,1/20/95,4829,President's Advisory Board on Arms Proliferation Policy
60 FR 5079,X95-110125,5081,"Amended by: EO 13099, August 20, 1998; EO 13371, February 16, 2005;;
 ;  Continued by: Notice of January 18, 1996; Notice of January 21, 1997; Notice of January 21, 1998; Notice of January 19, 2000;;
 ;  See: Notice of January 3, 1996; Notice of January 19, 2001; Notice of January 18, 2002; Notice of January 20, 2003; Notice of January 16, 2004; January 17, 2005; Notice of January 18, 2006; Notice of January 18, 2007; Notice of January 18, 2008; Notice of January 15, 2009; Notice of January 20, 2010",12947,https://www.federalregister.gov/documents/1995/01/25/X95-110125/prohibiting-transactions-with-terrorists-who-threaten-to-disrupt-the-middle-east-peace-process,https://www.gpo.gov/fdsys/pkg/FR-1995-01-25/pdf/X95-110125.pdf,1/25/95,1/23/95,5079,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process
60 FR 6381,95-2687,6381,"Amends: EO 12898, February 11, 1994",12948,https://www.federalregister.gov/documents/1995/02/01/95-2687/amendment-to-executive-order-no-12898,https://www.gpo.gov/fdsys/pkg/FR-1995-02-01/pdf/95-2687.pdf,2/1/95,1/30/95,6381,Amendment to Executive Order No. 12898
60 FR 8169,95-3671,8169,"Amended by: EO 13475, October 7, 2008",12949,https://www.federalregister.gov/documents/1995/02/13/95-3671/foreign-intelligence-physical-searches,https://www.gpo.gov/fdsys/pkg/FR-1995-02-13/pdf/95-3671.pdf,2/13/95,2/9/95,8169,Foreign Intelligence Physical Searches
60 FR 10475,95-4908,10476,"Amended by: EO 12952, February 24, 1995",12950,https://www.federalregister.gov/documents/1995/02/27/95-4908/establishing-an-emergency-board-to-investigate-a-dispute-between-metro-north-commuter-railroad-and,https://www.gpo.gov/fdsys/pkg/FR-1995-02-27/pdf/95-4908.pdf,2/27/95,2/22/95,10475,Establishing an Emergency Board To Investigate a Dispute Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations
60 FR 10789,95-5050,10790,NA,12951,https://www.federalregister.gov/documents/1995/02/28/95-5050/release-of-imagery-acquired-by-space-based-national-intelligence-reconnaissance-systems,https://www.gpo.gov/fdsys/pkg/FR-1995-02-28/pdf/95-5050.pdf,2/28/95,2/22/95,10789,Release of Imagery Acquired by Space-Based National Intelligence Reconnaissance Systems
60 FR 11011,95-5129,11011,"Amends: EO 12950, February 22, 1995",12952,https://www.federalregister.gov/documents/1995/02/28/95-5129/amendment-to-executive-order-no-12950,https://www.gpo.gov/fdsys/pkg/FR-1995-02-28/pdf/95-5129.pdf,2/28/95,2/24/95,11011,Amendment to Executive Order No. 12950
60 FR 11013,95-5146,11016,NA,12953,https://www.federalregister.gov/documents/1995/02/28/95-5146/actions-required-of-all-executive-agencies-to-facilitate-payment-of-child-support,https://www.gpo.gov/fdsys/pkg/FR-1995-02-28/pdf/95-5146.pdf,2/28/95,2/27/95,11013,Actions Required of all Executive Agencies To Facilitate Payment of Child Support
